date;territory;cumm_cases;;;;;;;;;;
02/03/2020;ACT;1;;;;;;;;;;
03/03/2020;ACT;1;;;;;;;;;;
04/03/2020;ACT;1;;;;;;;;;;
05/03/2020;ACT;1;;;;;;;;;;
06/03/2020;ACT;1;;;;;;;;;;
07/03/2020;ACT;2;;;;;;;;;;
08/03/2020;ACT;2;;;;;;;;;;
09/03/2020;ACT;2;;;;;;;;;;
10/03/2020;ACT;2;;;;;;;;;;
11/03/2020;ACT;3;;;;;;;;;;
12/03/2020;ACT;3;;;;;;;;;;
13/03/2020;ACT;5;;;;;;;;;;
14/03/2020;ACT;5;;;;;;;;;;
15/03/2020;ACT;7;;;;;;;;;;
16/03/2020;ACT;7;;;;;;;;;;
17/03/2020;ACT;7;;;;;;;;;;
18/03/2020;ACT;10;;;;;;;;;;
19/03/2020;ACT;10;;;;;;;;;;
20/03/2020;ACT;10;;;;;;;;;;
21/03/2020;ACT;16;;;;;;;;;;
22/03/2020;ACT;22;;;;;;;;;;
23/03/2020;ACT;28;;;;;;;;;;
24/03/2020;ACT;36;;;;;;;;;;
25/03/2020;ACT;42;;;;;;;;;;
26/03/2020;ACT;47;;;;;;;;;;
27/03/2020;ACT;58;;;;;;;;;;
28/03/2020;ACT;62;;;;;;;;;;
29/03/2020;ACT;66;;;;;;;;;;
30/03/2020;ACT;69;;;;;;;;;;
31/03/2020;ACT;69;;;;;;;;;;
01/04/2020;ACT;71;;;;;;;;;;
02/04/2020;ACT;74;;;;;;;;;;
03/04/2020;ACT;80;;;;;;;;;;
04/04/2020;ACT;82;;;;;;;;;;
05/04/2020;ACT;81;;;;;;;;;;
06/04/2020;ACT;85;;;;;;;;;;
07/04/2020;ACT;88;;;;;;;;;;
08/04/2020;ACT;97;;;;;;;;;;
09/04/2020;ACT;106;;;;;;;;;;
10/04/2020;ACT;111;;;;;;;;;;
11/04/2020;ACT;123;;;;;;;;;;
12/04/2020;ACT;133;;;;;;;;;;
13/04/2020;ACT;144;;;;;;;;;;
14/04/2020;ACT;151;;;;;;;;;;
15/04/2020;ACT;168;;;;;;;;;;
16/04/2020;ACT;170;;;;;;;;;;
17/04/2020;ACT;182;;;;;;;;;;
18/04/2020;ACT;187;;;;;;;;;;
19/04/2020;ACT;192;;;;;;;;;;
20/04/2020;ACT;197;;;;;;;;;;
21/04/2020;ACT;202;;;;;;;;;;
22/04/2020;ACT;203;;;;;;;;;;
23/04/2020;ACT;207;;;;;;;;;;
24/04/2020;ACT;207;;;;;;;;;;
25/04/2020;ACT;209;;;;;;;;;;
26/04/2020;ACT;210;;;;;;;;;;
27/04/2020;ACT;214;;;;;;;;;;
28/04/2020;ACT;217;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
